Id	X	Y	Z
182	744497.2000	9886169.1000	-30.3537
183	744523.2000	9886169.1000	-29.8546
184	744549.2000	9886169.1000	-29.4761
185	744575.2000	9886169.1000	-29.3137
186	744601.2000	9886169.1000	-28.9110
187	744627.2000	9886169.1000	-28.2839
188	744653.2000	9886169.1000	-28.1024
189	744679.2000	9886169.1000	-27.4098
190	744705.2000	9886169.1000	-26.7385
191	744731.2000	9886169.1000	-26.8079
192	744757.2000	9886169.1000	-24.4836
193	744783.2000	9886169.1000	-23.9424
194	744809.2000	9886169.1000	-23.6197
195	744835.2000	9886169.1000	-23.6313
196	744861.2000	9886169.1000	-23.4830
197	744887.2000	9886169.1000	-23.5158
198	744913.2000	9886169.1000	-23.1931
199	744237.2000	9886143.1000	-33.5601
200	744263.2000	9886143.1000	-32.1852
201	744289.2000	9886143.1000	-30.7908
202	744315.2000	9886143.1000	-30.5010
203	744341.2000	9886143.1000	-30.2032
204	744367.2000	9886143.1000	-30.0333
205	744393.2000	9886143.1000	-29.7675
206	744419.2000	9886143.1000	-29.6739
207	744445.2000	9886143.1000	-29.4770
208	744471.2000	9886143.1000	-29.3776
209	744497.2000	9886143.1000	-29.2265
210	744523.2000	9886143.1000	-29.2629
211	744549.2000	9886143.1000	-29.1204
212	744575.2000	9886143.1000	-29.2480
213	744601.2000	9886143.1000	-28.9511
214	744627.2000	9886143.1000	-28.4766
215	744653.2000	9886143.1000	-28.4094
216	744679.2000	9886143.1000	-28.2553
217	744705.2000	9886143.1000	-26.4552
218	744731.2000	9886143.1000	-25.6820
219	744757.2000	9886143.1000	-24.0304
220	744783.2000	9886143.1000	-23.0385
221	744809.2000	9886143.1000	-22.6352
222	744835.2000	9886143.1000	-22.6484
223	744861.2000	9886143.1000	-22.9554
224	744887.2000	9886143.1000	-23.0121
225	744913.2000	9886143.1000	-23.0378
226	744939.2000	9886143.1000	-22.9828
227	744211.2000	9886117.1000	-32.0912
228	744237.2000	9886117.1000	-32.5886
229	744263.2000	9886117.1000	-31.3882
230	744289.2000	9886117.1000	-30.3186
231	744315.2000	9886117.1000	-29.9212
232	744341.2000	9886117.1000	-29.6926
233	744367.2000	9886117.1000	-29.6839
234	744393.2000	9886117.1000	-29.2391
235	744419.2000	9886117.1000	-28.8494
236	744445.2000	9886117.1000	-28.5878
237	744471.2000	9886117.1000	-28.9534
238	744497.2000	9886117.1000	-28.9733
239	744523.2000	9886117.1000	-29.1261
240	744549.2000	9886117.1000	-28.5956
241	744575.2000	9886117.1000	-28.9071
242	744601.2000	9886117.1000	-28.8325
243	744627.2000	9886117.1000	-27.8786
244	744653.2000	9886117.1000	-28.2022
245	744679.2000	9886117.1000	-28.8347
246	744705.2000	9886117.1000	-26.1340
247	744731.2000	9886117.1000	-25.8400
248	744757.2000	9886117.1000	-23.4401
249	744783.2000	9886117.1000	-22.5800
250	744809.2000	9886117.1000	-22.1482
251	744835.2000	9886117.1000	-22.2385
252	744861.2000	9886117.1000	-22.6707
253	744887.2000	9886117.1000	-22.7077
254	744913.2000	9886117.1000	-22.2539
255	744939.2000	9886117.1000	-23.4039
256	744185.2000	9886091.1000	-33.0621
257	744211.2000	9886091.1000	-31.6926
258	744237.2000	9886091.1000	-30.8523
259	744263.2000	9886091.1000	-30.2762
260	744289.2000	9886091.1000	-30.0844
261	744315.2000	9886091.1000	-29.4210
262	744341.2000	9886091.1000	-29.1579
263	744367.2000	9886091.1000	-28.3266
264	744393.2000	9886091.1000	-28.1782
265	744419.2000	9886091.1000	-27.1823
266	744445.2000	9886091.1000	-27.3918
267	744471.2000	9886091.1000	-27.8771
268	744497.2000	9886091.1000	-27.9723
269	744523.2000	9886091.1000	-28.0330
270	744549.2000	9886091.1000	-27.5782
271	744575.2000	9886091.1000	-27.2090
272	744601.2000	9886091.1000	-27.1366
273	744627.2000	9886091.1000	-26.9526
274	744653.2000	9886091.1000	-26.6414
275	744679.2000	9886091.1000	-26.4202
276	744705.2000	9886091.1000	-25.0535
277	744731.2000	9886091.1000	-24.1820
278	744757.2000	9886091.1000	-22.5589
279	744783.2000	9886091.1000	-22.1201
280	744809.2000	9886091.1000	-21.5942
281	744835.2000	9886091.1000	-21.4580
282	744861.2000	9886091.1000	-21.1658
283	744887.2000	9886091.1000	-21.1660
284	744913.2000	9886091.1000	-20.5032
285	744939.2000	9886091.1000	-19.9253
286	744965.2000	9886091.1000	-19.2272
287	744159.2000	9886065.1000	-32.2328
288	744185.2000	9886065.1000	-33.2895
289	744211.2000	9886065.1000	-31.1241
290	744237.2000	9886065.1000	-30.2680
291	744263.2000	9886065.1000	-29.6942
292	744289.2000	9886065.1000	-29.9932
293	744315.2000	9886065.1000	-29.6064
294	744341.2000	9886065.1000	-29.0806
295	744367.2000	9886065.1000	-28.3910
296	744393.2000	9886065.1000	-27.9019
297	744419.2000	9886065.1000	-27.4484
298	744445.2000	9886065.1000	-27.3377
299	744471.2000	9886065.1000	-27.4430
300	744497.2000	9886065.1000	-27.3248
301	744523.2000	9886065.1000	-26.8639
302	744549.2000	9886065.1000	-26.7109
303	744575.2000	9886065.1000	-26.7621
304	744601.2000	9886065.1000	-26.7576
305	744627.2000	9886065.1000	-26.3273
306	744653.2000	9886065.1000	-25.9902
307	744679.2000	9886065.1000	-25.9761
308	744705.2000	9886065.1000	-24.1947
309	744731.2000	9886065.1000	-23.7653
310	744757.2000	9886065.1000	-22.0562
311	744783.2000	9886065.1000	-21.7186
312	744809.2000	9886065.1000	-21.2387
313	744835.2000	9886065.1000	-21.0908
314	744861.2000	9886065.1000	-20.8039
315	744887.2000	9886065.1000	-20.5952
316	744913.2000	9886065.1000	-19.0668
317	744939.2000	9886065.1000	-18.0488
318	744965.2000	9886065.1000	-18.6058
319	744081.2000	9886039.1000	-28.8821
320	744107.2000	9886039.1000	-29.9932
321	744133.2000	9886039.1000	-31.3678
322	744159.2000	9886039.1000	-30.9178
323	744185.2000	9886039.1000	-30.8687
324	744211.2000	9886039.1000	-29.9969
325	744237.2000	9886039.1000	-29.9358
326	744263.2000	9886039.1000	-29.9747
327	744289.2000	9886039.1000	-29.8378
328	744315.2000	9886039.1000	-29.6027
329	744341.2000	9886039.1000	-29.0615
330	744367.2000	9886039.1000	-28.6927
331	744393.2000	9886039.1000	-28.0464
332	744419.2000	9886039.1000	-26.8421
333	744445.2000	9886039.1000	-27.0169
334	744471.2000	9886039.1000	-27.0392
335	744497.2000	9886039.1000	-26.3151
336	744523.2000	9886039.1000	-26.0639
337	744549.2000	9886039.1000	-26.0106
338	744575.2000	9886039.1000	-25.8004
339	744601.2000	9886039.1000	-25.8313
340	744627.2000	9886039.1000	-25.5661
341	744653.2000	9886039.1000	-24.6468
342	744679.2000	9886039.1000	-24.1132
343	744705.2000	9886039.1000	-22.7329
344	744731.2000	9886039.1000	-21.9367
345	744757.2000	9886039.1000	-21.1656
346	744783.2000	9886039.1000	-20.9493
347	744809.2000	9886039.1000	-20.9209
348	744835.2000	9886039.1000	-20.5671
349	744861.2000	9886039.1000	-19.7220
350	744887.2000	9886039.1000	-19.1094
351	744913.2000	9886039.1000	-17.0317
352	744939.2000	9886039.1000	-16.1147
353	744965.2000	9886039.1000	-13.5674
354	744991.2000	9886039.1000	-13.0489
355	744029.2000	9886013.1000	-29.1785
356	744055.2000	9886013.1000	-28.6695
357	744081.2000	9886013.1000	-28.8752
358	744107.2000	9886013.1000	-29.8765
359	744133.2000	9886013.1000	-31.1630
360	744159.2000	9886013.1000	-30.2766
361	744185.2000	9886013.1000	-29.9610
362	744211.2000	9886013.1000	-29.8762
363	744237.2000	9886013.1000	-29.8425
364	744263.2000	9886013.1000	-29.9139
365	744289.2000	9886013.1000	-29.7364
366	744315.2000	9886013.1000	-29.7071
367	744341.2000	9886013.1000	-29.2670
368	744367.2000	9886013.1000	-28.7868
369	744393.2000	9886013.1000	-28.4467
370	744419.2000	9886013.1000	-27.8619
371	744445.2000	9886013.1000	-27.4687
372	744471.2000	9886013.1000	-27.3991
373	744497.2000	9886013.1000	-26.4644
374	744523.2000	9886013.1000	-25.3764
375	744549.2000	9886013.1000	-25.7222
376	744575.2000	9886013.1000	-24.4352
377	744601.2000	9886013.1000	-25.4186
378	744627.2000	9886013.1000	-25.1194
379	744653.2000	9886013.1000	-23.9903
