No	Id	X	Y	Intensitas
348	348	744081.2460	9886019.3600	-10.4416
349	349	744107.2460	9886019.3600	-11.9433
350	350	744133.2460	9886019.3600	-12.1220
351	351	744159.2460	9886019.3600	-12.0923
352	352	744185.2460	9886019.3600	-11.4434
353	353	744211.2460	9886019.3600	-11.6758
354	354	744237.2460	9886019.3600	-11.2210
355	355	744263.2460	9886019.3600	-11.5656
356	356	744289.2460	9886019.3600	-10.1180
357	357	744315.2460	9886019.3600	-11.2046
358	358	744341.2460	9886019.3600	-11.7081
359	359	744367.2460	9886019.3600	-10.9778
360	360	744393.2460	9886019.3600	-11.1200
361	361	744419.2460	9886019.3600	-11.2191
362	362	744445.2460	9886019.3600	-10.9968
363	363	744471.2460	9886019.3600	-11.6078
364	364	744497.2460	9886019.3600	-11.5108
365	365	744523.2460	9886019.3600	-11.6932
366	366	744549.2460	9886019.3600	-11.1507
367	367	744575.2460	9886019.3600	-10.9137
368	368	744601.2460	9886019.3600	-14.8187
369	369	744627.2460	9886019.3600	-13.1181
370	370	744653.2460	9886019.3600	-12.2895
371	371	744679.2460	9886019.3600	-12.7337
372	372	744705.2460	9886019.3600	-13.7690
373	373	744731.2460	9886019.3600	-12.6324
374	374	744757.2460	9886019.3600	-10.8571
375	375	744783.2460	9886019.3600	-10.7711
376	376	744809.2460	9886019.3600	-10.0761
377	377	744835.2460	9886019.3600	-10.7899
378	378	744861.2460	9886019.3600	-10.4615
379	379	744887.2460	9886019.3600	-10.6571
380	380	744913.2460	9886019.3600	-10.1665
381	381	744939.2460	9886019.3600	-10.6012
382	382	744965.2460	9886019.3600	-9.8299
383	383	744991.2460	9886019.3600	-10.2973
384	384	744003.2460	9885993.3600	-11.3267
385	385	744029.2460	9885993.3600	-12.1449
386	386	744055.2460	9885993.3600	-10.8976
387	387	744081.2460	9885993.3600	-11.2756
388	388	744107.2460	9885993.3600	-11.2488
389	389	744133.2460	9885993.3600	-12.6051
390	390	744159.2460	9885993.3600	-11.6444
391	391	744185.2460	9885993.3600	-11.7060
392	392	744211.2460	9885993.3600	-11.0383
393	393	744237.2460	9885993.3600	-10.7498
394	394	744263.2460	9885993.3600	-11.0553
395	395	744289.2460	9885993.3600	-11.5584
396	396	744315.2460	9885993.3600	-12.2156
397	397	744341.2460	9885993.3600	-11.4645
398	398	744367.2460	9885993.3600	-11.5054
399	399	744393.2460	9885993.3600	-11.2463
400	400	744419.2460	9885993.3600	-10.5229
401	401	744445.2460	9885993.3600	-11.1312
402	402	744471.2460	9885993.3600	-11.4921
403	403	744497.2460	9885993.3600	-11.4055
404	404	744523.2460	9885993.3600	-11.2526
405	405	744549.2460	9885993.3600	-11.5357
406	406	744575.2460	9885993.3600	-11.2653
407	407	744601.2460	9885993.3600	-12.4484
408	408	744627.2460	9885993.3600	-14.0351
409	409	744653.2460	9885993.3600	-14.0301
410	410	744679.2460	9885993.3600	-13.4035
411	411	744705.2460	9885993.3600	-12.0455
412	412	744731.2460	9885993.3600	-10.6648
413	413	744757.2460	9885993.3600	-10.4120
414	414	744783.2460	9885993.3600	-10.0441
415	415	744809.2460	9885993.3600	-10.0288
416	416	744835.2460	9885993.3600	-10.3836
417	417	744861.2460	9885993.3600	-10.0732
418	418	744887.2460	9885993.3600	-10.4219
419	419	744913.2460	9885993.3600	-11.2666
420	420	744939.2460	9885993.3600	-11.4958
421	421	744965.2460	9885993.3600	-10.7874
422	422	744991.2460	9885993.3600	-10.4496
423	423	745017.2460	9885993.3600	-10.9706
424	424	743977.2460	9885967.3600	-13.0114
425	425	744003.2460	9885967.3600	-11.8647
426	426	744029.2460	9885967.3600	-10.9415
427	427	744055.2460	9885967.3600	-11.0217
428	428	744081.2460	9885967.3600	-9.9440
429	429	744107.2460	9885967.3600	-11.1873
430	430	744133.2460	9885967.3600	-10.7538
431	431	744159.2460	9885967.3600	-11.3471
432	432	744185.2460	9885967.3600	-11.6511
433	433	744211.2460	9885967.3600	-10.9786
434	434	744237.2460	9885967.3600	-11.3338
435	435	744263.2460	9885967.3600	-11.2927
436	436	744289.2460	9885967.3600	-11.7234
437	437	744315.2460	9885967.3600	-12.1252
438	438	744341.2460	9885967.3600	-11.3036
439	439	744367.2460	9885967.3600	-11.2350
440	440	744393.2460	9885967.3600	-12.0014
441	441	744419.2460	9885967.3600	-12.1650
442	442	744445.2460	9885967.3600	-11.9716
443	443	744471.2460	9885967.3600	-11.2667
444	444	744497.2460	9885967.3600	-11.6370
445	445	744523.2460	9885967.3600	-11.1379
446	446	744549.2460	9885967.3600	-10.8436
447	447	744575.2460	9885967.3600	-10.6918
448	448	744601.2460	9885967.3600	-11.8340
449	449	744627.2460	9885967.3600	-14.5980
450	450	744653.2460	9885967.3600	-13.0338
451	451	744679.2460	9885967.3600	-11.1719
452	452	744705.2460	9885967.3600	-10.7838
453	453	744731.2460	9885967.3600	-9.9990
454	454	744757.2460	9885967.3600	-10.4284
455	455	744783.2460	9885967.3600	-10.5950
456	456	744809.2460	9885967.3600	-10.3811
457	457	744835.2460	9885967.3600	-9.9935
458	458	744861.2460	9885967.3600	-10.1783
459	459	744887.2460	9885967.3600	-11.7469
460	460	744913.2460	9885967.3600	-12.1872
461	461	744939.2460	9885967.3600	-10.3877
462	462	744965.2460	9885967.3600	-10.4859
463	463	744991.2460	9885967.3600	-10.5981
464	464	745017.2460	9885967.3600	-11.0712
465	465	743951.2460	9885941.3600	-13.3044
466	466	743977.2460	9885941.3600	-13.5746
467	467	744003.2460	9885941.3600	-11.7473
468	468	744029.2460	9885941.3600	-12.4654
469	469	744055.2460	9885941.3600	-10.6593
470	470	744081.2460	9885941.3600	-10.4778
471	471	744107.2460	9885941.3600	-10.8429
472	472	744133.2460	9885941.3600	-11.1160
473	473	744159.2460	9885941.3600	-10.1374
474	474	744185.2460	9885941.3600	-10.9036
475	475	744211.2460	9885941.3600	-11.1700
476	476	744237.2460	9885941.3600	-11.4443
477	477	744263.2460	9885941.3600	-12.0083
478	478	744289.2460	9885941.3600	-11.8742
479	479	744315.2460	9885941.3600	-12.3199
480	480	744341.2460	9885941.3600	-11.6287
481	481	744367.2460	9885941.3600	-11.5884
482	482	744393.2460	9885941.3600	-11.0650
483	483	744419.2460	9885941.3600	-11.6743
484	484	744445.2460	9885941.3600	-11.5236
485	485	744471.2460	9885941.3600	-11.7259
486	486	744497.2460	9885941.3600	-10.7572
487	487	744523.2460	9885941.3600	-11.0901
488	488	744549.2460	9885941.3600	-11.5804
489	489	744575.2460	9885941.3600	-11.7421
490	490	744601.2460	9885941.3600	-11.6944
491	491	744627.2460	9885941.3600	-12.5828
492	492	744653.2460	9885941.3600	-11.6358
493	493	744679.2460	9885941.3600	-11.5411
494	494	744705.2460	9885941.3600	-11.9359
495	495	744731.2460	9885941.3600	-10.3675
496	496	744757.2460	9885941.3600	-11.0642
497	497	744783.2460	9885941.3600	-10.3944
498	498	744809.2460	9885941.3600	-10.6681
499	499	744835.2460	9885941.3600	-9.8776
500	500	744861.2460	9885941.3600	-10.1614
501	501	744887.2460	9885941.3600	-10.9055
502	502	744913.2460	9885941.3600	-10.9379
503	503	744939.2460	9885941.3600	-10.9202
504	504	744965.2460	9885941.3600	-11.1775
505	505	744991.2460	9885941.3600	-12.6196
506	506	745017.2460	9885941.3600	-10.9503
507	507	745043.2460	9885941.3600	-11.4722
508	508	743925.2460	9885915.3600	-12.2709
509	509	743951.2460	9885915.3600	-12.1489
510	510	743977.2460	9885915.3600	-13.0656
511	511	744003.2460	9885915.3600	-12.6282
512	512	744029.2460	9885915.3600	-12.1106
513	513	744055.2460	9885915.3600	-11.3522
514	514	744081.2460	9885915.3600	-9.8352
515	515	744107.2460	9885915.3600	-10.5378
516	516	744133.2460	9885915.3600	-10.4820
517	517	744159.2460	9885915.3600	-8.9813
518	518	744185.2460	9885915.3600	-10.1460
519	519	744211.2460	9885915.3600	-11.3966
520	520	744237.2460	9885915.3600	-11.7802
521	521	744263.2460	9885915.3600	-12.1714
522	522	744289.2460	9885915.3600	-11.8408
523	523	744315.2460	9885915.3600	-11.2951
524	524	744341.2460	9885915.3600	-11.4952
525	525	744367.2460	9885915.3600	-10.8600
526	526	744393.2460	9885915.3600	-11.1395
527	527	744419.2460	9885915.3600	-11.6566
528	528	744445.2460	9885915.3600	-11.8960
529	529	744471.2460	9885915.3600	-11.8666
530	530	744497.2460	9885915.3600	-11.3671
531	531	744523.2460	9885915.3600	-11.3548
532	532	744549.2460	9885915.3600	-10.7246
533	533	744575.2460	9885915.3600	-10.6456
534	534	744601.2460	9885915.3600	-11.5526
535	535	744627.2460	9885915.3600	-11.1883
536	536	744653.2460	9885915.3600	-12.2437
537	537	744679.2460	9885915.3600	-12.3850
538	538	744705.2460	9885915.3600	-11.6884
539	539	744731.2460	9885915.3600	-10.7198
540	540	744757.2460	9885915.3600	-13.7089
541	541	744783.2460	9885915.3600	-10.9318
542	542	744809.2460	9885915.3600	-10.9800
543	543	744835.2460	9885915.3600	-10.0545
544	544	744861.2460	9885915.3600	-10.2212
545	545	744887.2460	9885915.3600	-10.6147
546	546	744913.2460	9885915.3600	-11.6610
547	547	744939.2460	9885915.3600	-10.7961
548	548	744965.2460	9885915.3600	-11.0954
549	549	744991.2460	9885915.3600	-12.9541
550	550	745017.2460	9885915.3600	-11.3250
551	551	745043.2460	9885915.3600	-12.0446
552	552	745069.2460	9885915.3600	-10.2129
553	553	745095.2460	9885915.3600	-9.9046
554	554	745121.2460	9885915.3600	-9.6728
555	555	743821.2460	9885889.3600	-13.4902
556	556	743847.2460	9885889.3600	-12.9839
557	557	743873.2460	9885889.3600	-12.1758
558	558	743899.2460	9885889.3600	-3.8494
559	559	743925.2460	9885889.3600	-14.5996
560	560	743951.2460	9885889.3600	-11.9611
561	561	743977.2460	9885889.3600	-12.7347
562	562	744003.2460	9885889.3600	-12.2569
563	563	744029.2460	9885889.3600	-12.7753
564	564	744055.2460	9885889.3600	-10.8744
565	565	744081.2460	9885889.3600	-11.4987
566	566	744107.2460	9885889.3600	-10.9328
567	567	744133.2460	9885889.3600	-10.2535
