Id	X	Y	Rugositas
155	744367.10120	9886190.79960	1.00004
156	744393.10120	9886190.79960	1.00012
157	744419.10120	9886190.79960	1.00020
158	744445.10120	9886190.79960	1.00015
159	744471.10120	9886190.79960	1.00012
160	744497.10120	9886190.79960	1.00010
161	744523.10120	9886190.79960	1.00009
162	744549.10120	9886190.79960	1.00011
163	744575.10120	9886190.79960	1.00018
164	744601.10120	9886190.79960	1.00014
165	744627.10120	9886190.79960	1.00002
166	744653.10120	9886190.79960	1.00006
167	744679.10120	9886190.79960	1.00010
168	744705.10120	9886190.79960	1.00012
169	744731.10120	9886190.79960	1.00028
170	744757.10120	9886190.79960	1.00036
171	744783.10120	9886190.79960	1.00003
172	744809.10120	9886190.79960	1.00003
173	744835.10120	9886190.79960	1.00007
174	744861.10120	9886190.79960	1.00015
175	744887.10120	9886190.79960	1.00012
176	744263.10120	9886164.79960	1.00047
177	744289.10120	9886164.79960	1.00022
178	744315.10120	9886164.79960	1.00018
179	744341.10120	9886164.79960	1.00012
180	744367.10120	9886164.79960	1.00007
181	744393.10120	9886164.79960	1.00011
182	744419.10120	9886164.79960	1.00010
183	744445.10120	9886164.79960	1.00019
184	744471.10120	9886164.79960	1.00032
185	744497.10120	9886164.79960	1.00017
186	744523.10120	9886164.79960	1.00006
187	744549.10120	9886164.79960	1.00007
188	744575.10120	9886164.79960	1.00007
189	744601.10120	9886164.79960	1.00002
190	744627.10120	9886164.79960	1.00004
191	744653.10120	9886164.79960	1.00010
192	744679.10120	9886164.79960	1.00026
193	744705.10120	9886164.79960	1.00029
194	744731.10120	9886164.79960	1.00037
195	744757.10120	9886164.79960	1.00044
196	744783.10120	9886164.79960	1.00011
197	744809.10120	9886164.79960	1.00013
198	744835.10120	9886164.79960	1.00010
199	744861.10120	9886164.79960	1.00007
200	744887.10120	9886164.79960	1.00006
201	744913.10120	9886164.79960	1.00012
202	744211.10120	9886138.79960	1.00058
203	744237.10120	9886138.79960	1.00140
204	744263.10120	9886138.79960	1.00059
205	744289.10120	9886138.79960	1.00015
206	744315.10120	9886138.79960	1.00005
207	744341.10120	9886138.79960	1.00004
208	744367.10120	9886138.79960	1.00004
209	744393.10120	9886138.79960	1.00009
210	744419.10120	9886138.79960	1.00010
211	744445.10120	9886138.79960	1.00010
212	744471.10120	9886138.79960	1.00021
213	744497.10120	9886138.79960	1.00018
214	744523.10120	9886138.79960	1.00009
215	744549.10120	9886138.79960	1.00016
216	744575.10120	9886138.79960	1.00022
217	744601.10120	9886138.79960	1.00006
218	744627.10120	9886138.79960	1.00019
219	744653.10120	9886138.79960	1.00022
220	744679.10120	9886138.79960	1.00047
221	744705.10120	9886138.79960	1.00040
222	744731.10120	9886138.79960	1.00037
223	744757.10120	9886138.79960	1.00047
224	744783.10120	9886138.79960	1.00008
225	744809.10120	9886138.79960	1.00011
226	744835.10120	9886138.79960	1.00011
